id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|दो चर $x$ और $y$ में रैखिक समीकरण युग्म का सामान्य रूप क्या है?|$a_1x^2 + b_1y^2 + c_1 = 0$|$a_1x + b_1y + c_1 = 0$ और $a_2x + b_2y + c_2 = 0$|$ax + by + c = 0$|$a_1x^3 + b_1y^3 + c_1 = 0$|$a_1x + b_1y + c_1 = 0$ और $a_2x + b_2y + c_2 = 0$|Mathematics_C3|30
2|यदि किसी रैखिक समीकरण युग्म का ग्राफ प्रतिच्छेदी रेखाएँ (Intersecting Lines) हैं, तो हल की संख्या क्या होगी?|कोई हल नहीं|एक अद्वितीय हल|अनंत हल|दो हल|एक अद्वितीय हल|Mathematics_C3|30
3|यदि किसी रैखिक समीकरण युग्म का ग्राफ समांतर रेखाएँ (Parallel Lines) हैं, तो हल की संख्या क्या होगी?|एक अद्वितीय हल|अनंत हल|कोई हल नहीं|दो हल|कोई हल नहीं|Mathematics_C3|30
4|अद्वितीय हल (Unique Solution) के लिए कौन सी शर्त सही है?|$\\frac{a_1}{a_2} = \\frac{b_1}{b_2} = \\frac{c_1}{c_2}$|$\\frac{a_1}{a_2} = \\frac{b_1}{b_2} \\ne \\frac{c_1}{c_2}$|$\\frac{a_1}{a_2} \\ne \\frac{b_1}{b_2}$|$\\frac{b_1}{b_2} = \\frac{c_1}{c_2}$|$\\frac{a_1}{a_2} \\ne \\frac{b_1}{b_2}$|Mathematics_C3|30
5|अनंत हल (Infinitely Many Solutions) के लिए कौन सी शर्त सही है?|$\\frac{a_1}{a_2} = \\frac{b_1}{b_2} = \\frac{c_1}{c_2}$|$\\frac{a_1}{a_2} = \\frac{b_1}{b_2} \\ne \\frac{c_1}{c_2}$|$\\frac{a_1}{a_2} \\ne \\frac{b_1}{b_2}$|कोई नहीं|$\\frac{a_1}{a_2} = \\frac{b_1}{b_2} = \\frac{c_1}{c_2}$|Mathematics_C3|30
6|कोई हल नहीं (No Solution) के लिए कौन सी शर्त सही है?|$\\frac{a_1}{a_2} = \\frac{b_1}{b_2} = \\frac{c_1}{c_2}$|$\\frac{a_1}{a_2} = \\frac{b_1}{b_2} \\ne \\frac{c_1}{c_2}$|$\\frac{a_1}{a_2} \\ne \\frac{b_1}{b_2}$|इनमें से कोई नहीं|$\\frac{a_1}{a_2} = \\frac{b_1}{b_2} \\ne \\frac{c_1}{c_2}$|Mathematics_C3|30
7|वह रैखिक समीकरण युग्म जिसका हल मौजूद होता है, क्या कहलाता है?|असंगत (Inconsistent)|संगत (Consistent)|स्वतंत्र (Independent)|अद्वितीय (Unique)|संगत (Consistent)|Mathematics_C3|30
8|वह रैखिक समीकरण युग्म जिसका कोई हल नहीं होता है, क्या कहलाता है?|संगत (Consistent)|आश्रित (Dependent)|असंगत (Inconsistent)|इनमें से कोई नहीं|असंगत (Inconsistent)|Mathematics_C3|30
9|अनंत हलों वाला रैखिक समीकरण युग्म क्या कहलाता है?|असंगत|केवल संगत|संगत और आश्रित|संगत और स्वतंत्र|संगत और आश्रित|Mathematics_C3|30
10|समीकरण युग्म $x+y=5$ और $x-y=1$ के कितने हल होंगे?|कोई हल नहीं|एक अद्वितीय हल|अनंत हल|दो हल|एक अद्वितीय हल|Mathematics_C3|30
11|समीकरण युग्म $x+2y-4=0$ और $2x+4y-12=0$ का हल क्या होगा?|अद्वितीय|अनंत|कोई हल नहीं|$x=4, y=0$|कोई हल नहीं|Mathematics_C3|30
