id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|उस शब्दांश को क्या कहते हैं, जो किसी शब्द के पहले लगकर उसका अर्थ बदल देता है?|प्रत्यय|उपसर्ग|संधि|समास|उपसर्ग|Hindi_Grammar_U_P|30
2|उस शब्दांश को क्या कहते हैं, जो किसी शब्द के अंत में लगकर उसका अर्थ बदल देता है?|प्रत्यय|उपसर्ग|समास|क्रिया|प्रत्यय|Hindi_Grammar_U_P|30
3|'उपकार' शब्द में कौन-सा उपसर्ग है?|उ|उप|उपका|उपकार|उप|Hindi_Grammar_U_P|30
4|'पराजय' शब्द में कौन-सा उपसर्ग है?|प|पर|परा|जय|परा|Hindi_Grammar_U_P|30
5|'अधिकार' शब्द में कौन-सा उपसर्ग है?|अ|अधि|अधि|कार|अधि|Hindi_Grammar_U_P|30
6|'प्रसिद्ध' शब्द में कौन-सा उपसर्ग है?|प|प्र|पर|सीद|प्र|Hindi_Grammar_U_P|30
7|'निर्वाह' शब्द में कौन-सा उपसर्ग है?|नि|निर|निर्व|वाह|निर|Hindi_Grammar_U_P|30
8|'अनुभव' शब्द में कौन-सा उपसर्ग है?|अ|अनु|अन|भव|अनु|Hindi_Grammar_U_P|30
9|'अवगुण' शब्द में कौन-सा उपसर्ग है?|अव|अ|अग|गुणा|अव|Hindi_Grammar_U_P|30
10|'अनमोल' शब्द में कौन-सा उपसर्ग है?|अ|अन|मोल|अना|अन|Hindi_Grammar_U_P|30
11|'अति + आचार' से बनने वाले शब्द 'अत्याचार' में कौन-सा उपसर्ग है?|अति|आचार|अ|अत्य|अति|Hindi_Grammar_U_P|30
12|'भरपेट' शब्द में कौन-सा उपसर्ग है?|भर|पेट|भरप|भरपे|भर|Hindi_Grammar_U_P|30
13|'बदनाम' शब्द में कौन-सा उपसर्ग है?|बद|ब|नाम|बदना|बद|Hindi_Grammar_U_P|30
14|'लाचार' शब्द में कौन-सा उपसर्ग है?|ला|चार|लाच|लाचा|ला|Hindi_Grammar_U_P|30
15|'सहकर्मी' शब्द में कौन-सा उपसर्ग है?|स|सह|सहा|कर्मी|सह|Hindi_Grammar_U_P|30
16|'सुलभ' शब्द में कौन-सा उपसर्ग है?|सु|सुल|ल|सुला|सु|Hindi_Grammar_U_P|30
17|'बेईमान' शब्द में कौन-सा उपसर्ग है?|बे|ईमान|बेइ|मान|बे|Hindi_Grammar_U_P|30
18|'पराक्रम' शब्द में कौन-सा उपसर्ग है?|पर|परा|प|क्रम|परा|Hindi_Grammar_U_P|30
19|'पुनर्जन्म' शब्द में कौन-सा उपसर्ग है?|पुन|पुनर|पुनः|जन्म|पुनः|Hindi_Grammar_U_P|30
20|'उपसर्ग' शब्द की रचना किन दो शब्दों के योग से हुई है?|उप + सर्ग|उप + सग|उ + पसर्ग|उप + ग|उप + सर्ग|Hindi_Grammar_U_P|30
21|'लिखावट' शब्द में कौन-सा प्रत्यय है?|आवट|वट|आव|अवट|आवट|Hindi_Grammar_U_P|30
22|'सजावट' शब्द में कौन-सा प्रत्यय है?|आवट|वट|ट|आ|आवट|Hindi_Grammar_U_P|30
23|'बुढ़ापा' शब्द में कौन-सा प्रत्यय है?|आपा|पा|पाप|बुढ़ा|आपा|Hindi_Grammar_U_P|30
24|'मिठास' शब्द में कौन-सा प्रत्यय है?|आस|ठास|स|मीठा|आस|Hindi_Grammar_U_P|30
25|'चुनौती' शब्द में कौन-सा प्रत्यय है?|ई|ती|औती|चुन|औती|Hindi_Grammar_U_P|30
26|'राष्ट्रीय' शब्द में कौन-सा प्रत्यय है?|ईय|य|ई|टीय|ईय|Hindi_Grammar_U_P|30
27|'लुटेरा' शब्द में कौन-सा प्रत्यय है?|रा|एरा|लुट|अरा|एरा|Hindi_Grammar_U_P|30
28|'रंगीला' शब्द में कौन-सा प्रत्यय है?|ईला|ला|गीला|रंग|ईला|Hindi_Grammar_U_P|30
29|'सुनारिन' शब्द में कौन-सा प्रत्यय है?|इन|न|सुनार|आरिन|इन|Hindi_Grammar_U_P|30
30|'भिखारी' शब्द में कौन-सा प्रत्यय है?|ई|आरी|री|भिख|आरी|Hindi_Grammar_U_P|30
31|'अकड़' प्रत्यय से बना शब्द कौन-सा है?|अकड़ना|भूलाक्कड़|अकड़ू|अकड़न|भूलाक्कड़|Hindi_Grammar_U_P|30
32|'आई' प्रत्यय से बना शब्द कौन-सा है?|चतुराई|आई|आयी|आईना|चतुराई|Hindi_Grammar_U_P|30
33|'ईला' प्रत्यय किसमें नहीं है?|रंगीला|शर्मीला|जहरीला|रसीला|शर्मीला|Hindi_Grammar_U_P|30
34|'कृत प्रत्यय' किसके साथ जुड़ते हैं?|संज्ञा|सर्वनाम|क्रिया (धातु)|विशेषण|क्रिया (धातु)|Hindi_Grammar_U_P|30
35|'तद्धित प्रत्यय' किसके साथ जुड़ते हैं?|क्रिया|संज्ञा, सर्वनाम और विशेषण|उपसर्ग|अव्यय|संज्ञा, सर्वनाम और विशेषण|Hindi_Grammar_U_P|30
36|'पठनीय' शब्द में कौन-सा प्रत्यय है?|नीय|ईय|अनीय|य|अनीय|Hindi_Grammar_U_P|30
37|'ई' प्रत्यय से बना 'स्त्रीलिंग' शब्द कौन-सा है?|देवी|लड़का|पहाड़ी|पानी|पहाड़ी|Hindi_Grammar_U_P|30
38|'हट' प्रत्यय से बना शब्द कौन-सा है?|सजाहट|चिल्लाहट|रुकवाट|सजावट|चिल्लाहट|Hindi_Grammar_U_P|30
39|'इक' प्रत्यय से बना शब्द कौन-सा है?|लौकिक|एक|एकता|आर्थिक|आर्थिक|Hindi_Grammar_U_P|30
40|'पा' प्रत्यय से बना शब्द कौन-सा है?|चुपचाप|पुष्प|बुढ़ापा|चुपचाप|बुढ़ापा|Hindi_Grammar_U_P|30
41|'निडर' शब्द में कौन-सा उपसर्ग है?|नि|निड|डर|निर|नि|Hindi_Grammar_U_P|30
42|'अनुराग' शब्द में कौन-सा उपसर्ग है?|अन|अनु|राग|अ|अनु|Hindi_Grammar_U_P|30
43|'दुराचार' शब्द में कौन-सा उपसर्ग है?|दुर|दु|राचार|आचार|दुर|Hindi_Grammar_U_P|30
44|'कमजोर' शब्द में कौन-सा उपसर्ग है?|कम|कमजो|क|जोर|कम|Hindi_Grammar_U_P|30
45|'प्रति + कूल' से बनने वाला शब्द 'प्रतिकूल' में कौन-सा उपसर्ग है?|प्र|प्रति|क|कूल|प्रति|Hindi_Grammar_U_P|30
46|'पड़ोसी' शब्द में कौन-सा प्रत्यय है?|ई|सी|पड़ोस|ई|Hindi_Grammar_U_P|30
47|'चाहत' शब्द में कौन-सा प्रत्यय है?|त|हत|अत|चाह|अत|Hindi_Grammar_U_P|30
48|'देवरानी' शब्द में कौन-सा प्रत्यय है?|देवर|आनी|नी|रानी|आनी|Hindi_Grammar_U_P|30
49|'उप' उपसर्ग से बना शब्द कौन-सा है?|उपहार|पकार|प्रहार|विचार|उपहार|Hindi_Grammar_U_P|30
50|'आलू' प्रत्यय से बना शब्द कौन-सा है?|दयालू|दया|आलु|चालू|दयालू|Hindi_Grammar_U_P|30
